,date,id,author_id,text,like,n_rt,author,colours
26,2021-12-29 05:25:59+00:00,1476061917626216450,706097800040357889,"Cronaca di un disastro annunciato da mesi e regolarmente inascoltato dai cosiddetti #icompetenti
Che dite, possiamo metterci un punto o andiamo allegramente a fondo al suono dell’orchestrina sul ponte del Titanic Italia?
Non so, vedete voi
#NoGreenPass 
@LaVeritaWeb https://t.co/FqAVHGEU5W",3,1,maryfagi,#aaaacc
27,2021-12-28 15:09:14+00:00,1475846310213435400,1238800491632607232,"I #PortualiDiTrieste lasciano il Presidio di #Napoli davanti alla Rai con questo messaggio Amore Libertà e #NoGreenPass
Vittorio lascia per ultimo il presidio e lo dichiara concluso.
Ovviamente #LaGenteComeNoiNonMollaMai riparte in nave per raggiungere un altro porto... https://t.co/F6tWdryupx",34,30,gianluca826,#aaaacc
28,2021-12-29 04:44:01+00:00,1476051357090074624,1379486747474718722,"Si parla di obbligo vaccinale, non vaccinati chiusi a casa, marchiati come il bestiame. Dobbiamo rientrare nella società, riempiamo le terapie I. Siamo la cancrena da estirpare. Non vedo vie di fuga e sono sempre più terrorizzata. #NoGreenPass #Meluzzi #Reset #resistenza",3,0,Serena589,#aaaacc
29,2021-12-29 05:38:45+00:00,1476065128068038656,342074085,"@melenabig La mia collega, con due dosi ha contratto il virus. Non le è stato sospeso il Green Pass. Stava male ed ha rispettato la quarantena, ma fosse stata un’altra persona magari asintomatica e in malafede, sarebbe potuta uscire ed infettare.

#nogreenpassobbligatorio #NoGreenPass",2,1,grollover79,#aaaacc
30,2021-12-27 10:07:03+00:00,1475407872322379776,1401075900477841411,"IL PROSSIMO PRESIDENTE DELLA REPUBBLICA SARÀ 
IL PRESIDENTE DI TUTTI GLI
ITALIANI , ANCHE DI CHI HA DECISO DI NON VACCINARSI ?

....O CONTINUERÀ A FIRMARE 
LEGGI DISCRIMINATORIE ?

#PresidenteDellaRepubblica
#NoGreenPass 
#DittaturaSanitaria 
#Quirinale https://t.co/lrY8D6cUkU",117,65,GiocatricePerTE,#aaaacc
31,2021-12-28 18:32:12+00:00,1475897387445018626,1134540091983114240,In fila x il #tampone #covid_19 #covid19 #vax #novax #NoGreenPass #verità #italia #chieti https://t.co/8iNwvVS1Bq,2,1,EDRCH1,#aaaacc
32,2021-12-28 12:26:02+00:00,1475805238477078533,1364298062919794688,"I giornali di regime insistono con propaganda demenziale. 

I casi sono in calo in TUTTI i Paesi dell'Est Europa, ma il calo  in Germania è merito del lockdown (inesistente) dei no vax.

Giornalismo imbarazzante.

#NoGreenPass",638,173,Lorenzo62752880,#aaaacc
33,2021-12-03 12:23:05+00:00,1466744797234966531,1302616789348691968,FATE  TESORO DELLA TESTIMONIANZA DI UNA DONNA SOPRAVVISSUTA ALL'OLOCAUSTO.....#VeraSharav  se siete  uomini...  ricordate Primo Levi... e non riempite d'ipocrisia il mondo  sull'Olocausto se non riuscite a vedere la realtà.. #nogreenpass https://t.co/obBF6zmBqG,339,207,OrtigiaP,#aaaacc
34,2021-12-28 18:49:26+00:00,1475901725676642316,2343158218,"Oltre 70.000 contagi..
Ma sto cazzo di #greenpass dei miei coglioni, non doveva essere ""strumento"" di sicurezza?
La terza dose idem?
Il 59,8% dei ricoverati sono #Provax per cui..
Ma andate a cagare, e svegliatevi rincoglioniti. 
#NoGreenPass
#GovernoCriminale #SperanzaCoion",7,1,VedoviGian,#aaaacc
35,2021-12-28 19:53:30+00:00,1475917845863227395,1238800491632607232,"#PortualiDiGenova attivano presidio al terminal traghetti di #Genova da oggi 28/12/21 fino al 4/1/22
#NoGreenPass 
#Puzzer https://t.co/MbzR0xLF6Q",31,24,gianluca826,#aaaacc
36,2021-12-28 21:03:05+00:00,1475935359204745217,1275458021661933568,"Fascista a capo della rivolta #novax e #NoGreenPass, ora ha paura di prendersi il Covid da un compagno di cella positivo.
Il carcere alle volte fa miracoli.  https://t.co/nk7klqv4Ip",53,6,MastriTina,#aaaacc
