,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,id,author_id,author,n_rt,text_complete,hashtags,colours_y,Id,Label,Colour,text_preprocessed,text_preprocessed_new,sentiment
362,362,362,362,362,362,362,362,1475176347890851840,3051218620,73af33757472423,1,"@ADeborahF Propaganda becera del ""vile affarista"" cit. Francesco Cossiga. #DimissioniSubito #Draghi #NogreenpaSS #Nodraghi #giulemanidaibambini #peggiodibibbiano #governodeipeggiori #GovernoCriminale #M5Servi #M5Straccioni",#NoGreenPass,0,3051218620.0,73af33757472423,#fb1239,propaganda becera del  vile affarista  cit  francesco cossiga ,propaganda becero vile affarista cit francesco cossiga,-0.5574
363,363,363,363,363,363,363,363,1475165998928076805,1428603283531309061,dessere88,2,"Vitoria-Gasteiz
Città in Spagna 26.12

#nogreenpass https://t.co/LyqTWNBwYh",#vaccinatevi,1,1.428603283531309e+18,dessere88,#b00b69,vitoria gasteiz città in spagna 26 12,vitoria gasteiz città spagna 26 12,0.0
364,364,364,364,364,364,364,364,1475133551158902788,1398742674031747075,Eman07460682,1,"Dai su ammettetelo. A noi tutti sporchi e brutti #novax sempre piu persone stanno dando ragione. Ogni giorno crescono le persone che mi dicono:""hai fatto bene a non vaccinarti è tutta na truffa la terza/quarta non la faccio"" #NoGreenPass #Capezzone #megagreenpass #CABINADIREGIA https://t.co/hSdxCnMLke",#NoGreenPass,0,1.398742674031747e+18,Eman07460682,#99cccc,dai su ammettetelo  a noi tutti sporchi e brutti sempre piu persone stanno dando ragione  ogni giorno crescono le persone che mi dicono  hai fatto bene a non vaccinarti è tutta na truffa la terza quarta non la faccio ,ammettere sporco brutto sempre piu persona dare ragione ogni giorno crescere persona dire fare bene vaccinarti tutto na truffa terzo quarto,-0.9337
365,365,365,365,365,365,365,365,1474807291601895425,1467869820951666688,asianiclara,3,"Un urlo di rivoluzione giunge inaspettato, organizzato non violento, forte coeso, un'armonia unità di intenti che supera ogni confine. La lotta #ViVi è arrivata
UNISCITI A NOI👉https://t.co/0QI7S4TfwB
#Draghi il nostro tsunami arriva!

#NoGreenPass #novax #GreenpassObbligatorio https://t.co/G9NfAdMpGL",['#NoGreenPass'],#fb1239,,,,un urlo di rivoluzione giunge inaspettato  organizzato non violento  forte coeso  un armonia unità di intenti che supera ogni confine  la lotta è arrivata unisciti a noi https   t co 0qi7s4tfwb il nostro tsunami arriva ,urlo rivoluzione giungere inaspettato organizzato violento forte coeso armonia unità intento superare ogni confine lottare arrivare unire t co 0qi7s4tfwb tsunami arrivare,-0.8481
366,366,366,366,366,366,366,366,1475008858905010178,5404582,Stronza,7,#buongiorno #novax #nogreenpass e fascistelli vari di #stocazz 🤓 https://t.co/HBUUZFe5bI,#NoGreenPass,0,5404582.0,Stronza,#fb1239,e fascistelli vari di  ,fascistelli varo,0.0
367,367,367,367,367,367,367,367,1474732716901998592,1364298062919794688,Lorenzo62752880,133,"Nella provincia di Alberta in Canada:

13 dic: sospesi sanitari non vaccinati.

23 dic: riammessi al lavoro 1.400 sanitari non vaccinati per far fronte all'aunento di casi Omicron. 

#NoGreenPass",#NoGreenPass,0,1.3642980629197947e+18,Lorenzo62752880,#fb1239,nella provincia di alberta in canada  13 dic  sospesi sanitari non vaccinati  23 dic  riammessi al lavoro 1 400 sanitari non vaccinati per far fronte all aunento di casi omicron ,provincia alberta canada 13 dic sospendere sanitario vaccinati 23 dic riammessi lavoro 1 400 sanitario vaccinare fare fronte aunento caso omicron,-0.2023
368,368,368,368,368,368,368,368,1475063826076815363,1262116657176219649,Giuseppebucca6,2,"@alfonsoliguor11 ""se accendo il cervello accendo la scienza"" è l'unica affermazione che ci può salvare da questa guerra tecnocratica #NoGreenPass",['#NoGreenPass'],#fb1239,,,, se accendo il cervello accendo la scienza  è l unica affermazione che ci può salvare da questa guerra tecnocratica,accendere cervello accendere scienza unico affermazione potere salvare guerra tecnocratica,-0.1779
369,369,369,369,369,369,369,369,1474768298206183426,1364298062919794688,Lorenzo62752880,46,"Se in Francia, Inghilterra e New York con circa 80% vaccinati è record di casi...

Come può un pass per vaccinati e guariti servire a ridurre la curva? In lockdown hanno messo la logica. 

#NoGreenPass",#NoGreenPass,0,1.3642980629197947e+18,Lorenzo62752880,#fb1239,se in francia  inghilterra e new york con circa 80  vaccinati è record di casi    come può un pass per vaccinati e guariti servire a ridurre la curva  in lockdown hanno messo la logica ,francia inghilterra new york circa 80 vaccinati record caso potere pass vaccinare guarire servire ridurre curva lockdown mettere logica,-0.7184
370,370,370,370,370,370,370,370,1475033830583115780,428431567,fortnardelli,7,"Se anche #Crisanti mi diventa un #NoGreenpass, il vento sta cambiando davvero! https://t.co/hhipihG5Rx",#NoGreenPass,0,428431567.0,fortnardelli,#fb1239,se anche mi diventa un il vento sta cambiando davvero ,diventare vento cambiare davvero,0.0
371,371,371,371,371,371,371,371,1475144518311755787,1185613412,WandaBenati,2,Ganzissimo ! #nogreenpass https://t.co/xzryVd72CB,#nogreenpass,#aaaacc,,,,ganzissimo  ,ganzissimo,-0.5653
