Source,Target,Type,Kind,Id,Label,Interval,Weight
768270710670233600,1434532915417919488,Directed,,252,,,1.0
1389495200607883266,1364298062919794688,Directed,,253,,,1.0
1059728797610708993,1364298062919794688,Directed,,254,,,1.0
1015512337,1460634559113043973,Directed,,255,,,1.0
475732955,1364298062919794688,Directed,,256,,,1.0
1032615842,1460634559113043973,Directed,,257,,,1.0
3184776298,1364298062919794688,Directed,,258,,,1.0
1070688754342473728,1364298062919794688,Directed,,259,,,1.0
1361786933194719232,1434532915417919488,Directed,,260,,,1.0
1055560390720008195,446380041,Directed,,261,,,1.0
1247558843955064836,2322424306,Directed,,262,,,1.0
1398742674031747075,1364298062919794688,Directed,,263,,,1.0
1426639026824564737,1364298062919794688,Directed,,264,,,1.0
730973286,1364298062919794688,Directed,,265,,,1.0
1370732523135893510,1364298062919794688,Directed,,266,,,1.0
3352779975,1364298062919794688,Directed,,267,,,1.0
443926629,1364298062919794688,Directed,,268,,,1.0
910876959399452673,1364298062919794688,Directed,,269,,,1.0
973863191037071360,2322424306,Directed,,270,,,1.0
1632805556,1364298062919794688,Directed,,271,,,1.0
1241292304004022272,1434532915417919488,Directed,,272,,,1.0
1318295995,1364298062919794688,Directed,,273,,,1.0
1283766291799715843,1364298062919794688,Directed,,274,,,1.0
1972520815,2322424306,Directed,,275,,,1.0
1151954305659936769,1366086962164154371,Directed,,276,,,1.0
1438546161955229703,1438546161955229703,Directed,,277,,,1.0
457693768,1364298062919794688,Directed,,278,,,1.0
1430162268,1364298062919794688,Directed,,279,,,1.0
440247035,1364298062919794688,Directed,,280,,,1.0
796260694144548864,1364298062919794688,Directed,,281,,,1.0
493285850,1364298062919794688,Directed,,282,,,1.0
1208458128523743233,446380041,Directed,,283,,,1.0
493285850,1364298062919794688,Directed,,284,,,1.0
1312802310830125057,1364298062919794688,Directed,,285,,,1.0
392728431,1438546161955229703,Directed,,286,,,1.0
319322393,1364298062919794688,Directed,,287,,,1.0
2764665148,1364298062919794688,Directed,,288,,,1.0
912000926826815491,1012267874143080448,Directed,,289,,,1.0
319322393,420931672,Directed,,290,,,1.0
1435676887603458061,1439222482662268932,Directed,,291,,,1.0
1435676887603458061,923171889891209217,Directed,,292,,,1.0
2643488104,1364298062919794688,Directed,,293,,,1.0
319322393,986811270,Directed,,294,,,1.0
319322393,1155459166380744709,Directed,,295,,,1.0
912000926826815491,1012267874143080448,Directed,,296,,,1.0
319322393,1364298062919794688,Directed,,297,,,1.0
1435676887603458061,1423290967746961418,Directed,,298,,,1.0
1414955644596129799,1364298062919794688,Directed,,299,,,1.0
1312802310830125057,1364298062919794688,Directed,,300,,,1.0
319322393,420931672,Directed,,301,,,1.0
319322393,466402810,Directed,,302,,,1.0
319322393,1360232480,Directed,,303,,,1.0
1435676887603458061,25141258,Directed,,304,,,1.0
1468933392326610954,1455484372556070923,Directed,,305,,,1.0
319322393,2394684582,Directed,,306,,,1.0
2306307694,1364298062919794688,Directed,,307,,,1.0
738344440851468288,1364298062919794688,Directed,,308,,,1.0
1312802310830125057,1364298062919794688,Directed,,309,,,1.0
319322393,1364298062919794688,Directed,,310,,,1.0
342074085,342074085,Directed,,311,,,1.0
319322393,1074085537089314817,Directed,,312,,,1.0
319322393,1364298062919794688,Directed,,313,,,1.0
319322393,1364298062919794688,Directed,,314,,,1.0
761170444904964096,1364298062919794688,Directed,,315,,,1.0
